date,ticker,close,adj_close,volume,unadjusted_volume,est_net_mean_1,est_net_low_1,est_net_high_1,est_net_mean_2,est_net_low_2,est_net_high_2,est_net_mean_3,est_net_low_3,est_net_high_3,est_eps_mean_1,est_eps_low_1,est_eps_high_1,est_eps_mean_2,est_eps_low_2,est_eps_high_2,est_eps_mean_3,est_eps_low_3,est_eps_high_3,adj_dividend_ex,adj_dividend_pay,adj_dividend_dec,weighted_average_shs_out,weighted_average_shs_out_dil,revenue,net_income,cost_of_revenue,gross_profit,gross_profit_ratio,operating_expenses,interest_expense,depreciation_and_amortization,operating_income,cash_and_short_term_investments,net_receivables,inventory,total_current_assets,property_plant_equipment_net,goodwill,intangible_assets,goodwill_and_intangible_assets,total_noncurrent_assets,total_assets,total_current_liabilities,total_noncurrent_liabilities,total_liabilities,retained_earnings,total_stockholders_equity,total_liabilities_and_stockholders_equity,change_in_working_capital,net_cash_provided_by_operating_activities,net_cash_used_for_investing_activites,debt_repayment,common_stock_issued,common_stock_repurchased,net_cash_used_provided_by_financing_activities,net_change_in_cash,capital_expenditure,free_cash_flow,ia_eps_mean,eps_actual,ia_eps_high,ia_eps_low,ia_rps_mean,ia_rps_high,ia_rps_low,rps_actual,ia_net_margin_mean,ia_net_margin_high,ia_net_margin_low,unleveraged_net_tangible_asseets,net_tangible_asseets,ulnta_ps,rev_oulnta,earnings_oulnta,debt_ratio,current_ratio,debt_to_nta,apc_1m_mean,apc_1q_mean,apc_2q_mean,ia_apc_1m_mean,ia_apc_1q_mean,ia_apc_2q_mean,derive_datetime
2003-06-30,TDG,,,,,,,,,,,,,,,,,,,,,,,,,,5555950.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-11-09 16:36:38+0000
2003-06-30,TXT,18.79071436190476,16.081016676190476,1843742.857142857,1843742.857142857,359.67,304.0,481.0,371.18,316.0,411.53,,,,1.2,1.1,1.28,1.38,1.15,1.5,1.78,1.78,1.78,0.005416666666666667,0.0,0.0,277769230.7692308,,,,,,,,,,,,,,,,,,1630615384.6153846,,15313461538.461538,,,11776384615.384615,,,,,,,,,,,,,,1.3870283018867924,,1.4179716981132073,1.4257075471698113,36.80882586227617,37.367383727917314,36.13258818703856,,0.037681949081356046,0.03794677487826999,0.03945766463752075,25459230769.23077,1906461538.4615388,91.65605095541402,0.40159733567598044,0.015132970354150548,0.7690217254803465,,6.177090058102,,,,-0.03291542661188951,-0.02778054379468542,-0.022396992928337432,2022-11-09 16:37:34+0000
2003-06-30,NOC,39.18522536190476,25.829567961904765,2826468.476190476,2826468.476190476,757.54,717.87,813.0,921.18,854.0,1006.0,1085.85,1029.7,1142.0,2.0,1.95,2.12,2.42,2.25,2.62,2.72,2.57,2.92,0.0,0.0,0.0,298130000.0,,,,,,,,,,,,,,,,,,18626500000.0,,37637500000.0,,,22508000000.0,,,,,,,,,,,,,,2.5419489247311824,,2.584489247311828,2.52119623655914,68.3585955051722,70.69462823643724,67.68368709760374,,0.03718550543565295,0.036558495486644874,0.03724968814011907,41519000000.0,-3497000000.0,139.26475027672493,0.4908535388125193,0.018252636935622422,0.5980205911657257,,-6.436374034887046,0.007266110942039827,-0.047269685601793204,0.16122318677716915,-0.02483395012223777,-0.027784050072589994,-0.0308082037692764,2022-11-09 16:34:41+0000
2003-07-31,RTX,23.2490419,15.277760281818182,6782083.136363637,6782083.136363637,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,946433333.3333334,,,,,,,,,,,,,,,,,,8350666666.666666,,32332166666.666668,,,21362833333.333332,,,,,,,,,,,,,,,,,,,,,,,,,45344333333.333336,2618666666.66667,47.910752650301134,,,0.6607300263411566,,8.157904786150702,,,,,,,2022-11-09 16:36:09+0000
2003-07-31,BA,33.63681790909091,22.762965454545455,4101340.909090909,4101340.909090909,1188.57,705.0,1604.0,1575.48,1297.0,1770.0,1738.0,1376.0,2085.0,1.32,0.8,1.9,2.03,1.6,2.25,2.37,1.7,3.0,0.0,0.0,0.0,799641666.6666666,,,,,,,,,,,,,,,,,,3339666666.666667,,52746250000.0,,,44791833333.333336,,,,,,,,,,,,,,2.24893300248139,,2.413259482453031,2.1076107763204535,64.80364874196262,65.29573399806942,64.34790560378065,,0.03470380211824597,0.03695891499625968,0.03275337023862086,94198416666.66667,4614749999.999997,117.80078576862554,0.5501121942365014,0.019090984731617633,0.8491946504885813,,9.70623182909873,-0.18015020417977268,-0.10939694759720235,-0.1429358789410948,-0.08873754496850172,-0.060881664314491345,-0.04505414819581832,2022-11-09 16:29:47+0000
2003-07-31,HXL,4.171818168181819,3.968377490909091,28163.636363636364,28163.636363636364,,,,,,,,,,-0.45,-0.45,-0.45,-0.22,-0.22,-0.22,,,,0.0,0.0,0.0,38516666.666666664,,,,,,,,,,,,,,,,,,75858333.33333333,,716616666.6666666,,,824183333.3333334,,,,,,,,,,,,,,,,,,,,,,,,,1464941666.6666667,-183425000.00000006,38.03396797922978,,,1.1501034955927159,,-4.4932988051428815,,,,,,,2022-11-09 16:32:39+0000
2003-07-31,TDG,,,,,,,,,,,,,,,,,,,,,,,,,,6159966.666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-11-09 16:36:38+0000
2003-07-31,CW,15.87670460909091,13.736045104545456,150745.45454545456,150745.45454545456,,,,,,,,,,,,,,,,,,,0.0017045454545454545,0.0,0.0,41083692.0,,,,,,,,,,,,,,,,,,241141416.6666667,,906689583.3333334,,,455997333.3333333,,,,,,,,,,,,,,,,,,,,,,,,,1121545500.0,209550833.33333337,27.299043620519793,,,0.5029255234817134,,2.176070245485383,,,,,,,2022-11-09 16:30:48+0000
2003-07-31,NOC,39.909032295454544,26.30668093181818,2747305.9545454546,2747305.9545454546,761.54,717.87,813.0,914.52,854.0,1006.0,1085.85,1029.7,1142.0,2.0,1.95,2.12,2.42,2.25,2.62,2.72,2.57,2.92,0.0,0.0,0.0,309318333.3333334,,,,,,,,,,,,,,,,,,18695916666.666668,,36866083333.333336,,,21625166666.666664,,,,,,,,,,,,,,2.469301075268817,,2.5238172043010754,2.4465860215053765,67.85002575034488,68.36372418643074,67.3517782164423,,0.036393517142567416,0.03691749146694408,0.036325485180851574,39795333333.33333,-3454999999.999996,128.65494555231663,0.5273798489367371,0.019193207572923757,0.586587039125845,,-6.259093101784859,-0.0019496081291048295,0.004194204584991608,0.1325463713186424,-0.036019320433272606,-0.028562406892582715,-0.03167672321327577,2022-11-09 16:34:41+0000
2003-07-31,WWD,7.228939354545455,6.095982322727273,233263.63636363635,233263.63636363635,,,,,,,,,,,,,,,,,,,0.0,0.0018181818181818182,0.0018181818181818182,67555000.0,,,,,,,,,,,,,,,,,,212763666.66666666,,610398333.3333334,,,250578166.66666666,,,,,,,,,,,,,,,,,,,,,,,,,648212833.3333334,147056500.0000001,9.595334665581133,,,0.41051581071376886,,1.7039584558769352,,,,,,,2022-11-09 16:39:17+0000
